id,user_input,uri,doi,title,authors,year,citations_gs,citations_wos
380,,,10.1016/j.neucom.2012.10.015,Fast learning rates for sparse quantile regression problem,"Lv, Shao-Gao; Ma, Tie-Feng; Liu, Liu; Feng, Yun-Long",2013,,1
381,,,10.1002/asmb.2146,"Simple outlier labeling based on quantile regression, with application to the steelmaking process","Bellio, Ruggero; Coletto, Mauro",2016,,0
382,,,10.1007/bf01104081,QUANTILE SPLINE MODELS FOR GLOBAL TEMPERATURE-CHANGE,"KOENKER, R; SCHORFHEIDE, F",1994,,22
383,,,10.1016/j.yrtph.2015.05.023,Empirical characterisation of ranges of mainstream smoke toxicant yields from contemporary cigarette products using quantile regression methodology,"Camacho, Oscar M.; Eldridge, Alison; Proctor, Christopher J.; McAdam, Kevin",2015,,1
384,,,10.3109/10903127.2013.825354,AN EVALUATION OF EMERGENCY MEDICAL SERVICES STROKE PROTOCOLS AND SCENE TIMES,"Patel, Mehul D.; Brice, Jane H.; Moss, Chailee; Suchindran, Chirayath M.; Evenson, Kelly R.; Rose, Kathryn M.; Rosamond, Wayne D.",2014,,7
385,,,10.1111/j.1467-9469.2004.03_035.x,Local linear additive quantile regression,"Yu, KM; Lu, ZD",2004,,29
386,,,10.1007/bf01845702,STRONG REPRESENTATIONS FOR LAD ESTIMATORS IN LINEAR-MODELS,"BABU, GJ",1989,,35
387,,,10.1137/050639132,CONVERGENCE ANALYSIS OF GENERALIZED ITERATIVELY REWEIGHTED LEAST SQUARES ALGORITHMS ON CONVEX FUNCTION SPACES,"Bissantz, Nicolai; Duembgen, Lutz; Munk, Axel; Stratmann, Bernd",2009,,20
388,,,10.1016/j.jeconom.2008.08.006,Testing for structural change in regression quantiles,"Qu, Zhongjun",2008,,22
389,,,10.1111/j.1467-9876.2012.01050.x,Estimating the relationship between women's education and fertility in Botswana by using an instrumental variable approach to semiparametric expectile regression,"Sobotka, Fabian; Radice, Rosalba; Marra, Giampiero; Kneib, Thomas",2013,,2
390,,,10.1080/14697688.2015.1059952,Predicting recovery rates using logistic quantile regression with bounded outcomes,"Siao, Jhao-Siang; Hwang, Ruey-Ching; Chu, Chih-Kang",2016,,0
391,,,10.1080/14445921.2015.1026191,Interest rate risk of Australian REITS: A panel analysis,"Yong, Jaime; Singh, Abhay",2015,,0
392,,,10.1016/s0167-9473(99)00029-8,Applications and algorithms for least trimmed sum of absolute deviations regression,"Hawkins, DM; Olive, D",1999,,27
393,,,10.1002/we.182,A comparison of a few statistical models for making quantile wind power forecasts,"Bremnes, JB",2006,,39
394,,,,FUZZY LINEAR REGRESSION MODEL WITH CRISP COEFFICIENTS: A GOAL PROGRAMMING APPROACH,"Hassanpour, H.; Maleki, H. R.; Yaghoobi, M. A.",2010,,11
395,,,10.1080/09720510.2015.1047268,Study on dynamic factors striding across the middle income Trap-transnational empirical analysis based on quartile regression,"Bien, Yun-Hua; Su, Yi-Mei; Wang, Yi-Chuang; Chang, Chang-Hsing; Zhang Ming-Ru, None",2016,,0
396,,,10.1016/j.jeconom.2016.01.008,Smoothed quantile regression for panel data,"Galvao, Antonio F.; Kato, Kengo",2016,,0
397,,,10.2307/3180276,Nonparametric estimation of crop yield distributions: Implications for rating group-risk crop insurance contracts,"Goodwin, BK; Ker, AP",1998,,76
398,,,10.1111/j.1467-9868.2005.00507.x,Self-weighted least absolute deviation estimation for infinite variance autoregressive models,"Ling, SQ",2005,,39
399,,,10.1016/j.csda.2004.10.008,GACV for quantile smoothing splines,"Yuan, M",2006,,38
400,,,,Efficient Portfolio Optimisation Using the Conditional Value at Risk Approach,"Ayodeji, Olu Abraham; Ingram, Lucie",2015,,0
401,,,10.1016/j.ajog.2013.08.020,The association of dysmenorrhea with noncyclic pelvic pain accounting for psychological factors,"Westling, Allyson M.; Tu, Frank F.; Griffith, James W.; Hellman, Kevin M.",2013,,1
402,,,10.1002/sim.5353,Bayesian nonparametric inference on quantile residual life function: Application to breast cancer data,"Park, Taeyoung; Jeong, Jong-Hyeon; Lee, Jae Won",2012,,2
403,,,10.1016/j.rse.2009.01.014,Commentary on Krishnaswamy et al. - Quantifying and mapping biodiversity and ecosystem services: Utility of a multi-season NDVI based Mahalanobis distance surrogate,"Rocchini, Duccio",2009,,1
404,,,10.1214/13-sts445,Wind Energy: Forecasting Challenges for Its Operational Management,"Pinson, Pierre",2013,,44
405,,,10.1016/j.jmva.2014.08.007,Efficient minimum distance estimator for quantile regression fixed effects panel data,"Galvao, Antonio F.; Wang, Liang",2015,,1
406,,,10.1007/s10463-012-0359-8,Nonparametric quantile regression with heavy-tailed and strongly dependent errors,"Honda, Toshio",2013,,0
407,,,10.1016/j.jpeds.2009.03.061,Health-Related Quality of Life in 5-Year-Old Very Low Birth Weight Infants,"Rautava, Liisi; Hakkinen, Unto; Korvenranta, Emmi; Andersson, Sture; Gissler, Mika; Hallman, Mikko; Korvenranta, Heikki; Leipala, Jaana; Linna, Miika; Peltola, Mikko; Tammela, Outi; Lehtonen, Liisa",2009,,15
408,,,10.1108/oir-06-2014-0134,Towards an automatic user profiling system for online information sites Identifying demographic determining factors,"De Andres, Javier; Pariente, Beatriz; Gonzalez-Rodriguez, Martin; Fernandez Lanvin, Daniel",2015,,0
409,,,10.1016/j.scitotenv.2009.12.002,Quantile regression of indoor air concentrations of volatile organic compounds (VOC),"Schlink, Uwe; Thiem, Alexander; Kohajda, Tibor; Richter, Matthias; Strebel, Kathrin",2010,,30
410,,,10.1109/lgrs.2008.2001767,Quantile Regression Applied to Spectral Distance Decay,"Rocchini, Duccio; Cade, Brian S.",2008,,10
411,,,10.1016/j.kss.2016.01.006,Bayesian variable selection in quantile regression using the Savage-Dickey density ratio,"Oh, Man-Suk; Choi, Jungsoon; Park, Eun Sug",2016,,0
412,,,10.1080/15481603.2013.795304,Evaluating the use of publicly available remotely sensed land cover data for areal interpolation,"Lin, Jie; Cromley, Robert G.; Civco, Daniel L.; Hanink, Dean M.; Zhang, Chuanrong",2013,,4
413,,,10.1016/j.atmosenv.2012.11.033,The importance of high vehicle power for passenger car emissions,"Carslaw, David C.; Williams, Martin L.; Tate, James E.; Beevers, Sean D.",2013,,10
414,,,10.1002/bimj.201200095,Outlier robust model-assisted small area estimation,"Fabrizi, Enrico; Salvati, Nicola; Pratesi, Monica; Tzavidis, Nikos",2014,,0
415,,,10.1007/s00180-014-0550-x,Weighted quantile regression for longitudinal data,"Lu, Xiaoming; Fan, Zhaozhi",2015,,2
416,,,10.1016/0167-7152(84)90040-3,A NOTE ON L-ESTIMATES FOR LINEAR-MODELS,"KOENKER, R",1984,,31
417,,,10.1093/bioinformatics/btn012,OutlierD: an R package for outlier detection using quantile regression on mass spectrometry data,"Cho, HyungJun; Kim, Yang-Jin; Jung, Hee Jung; Lee, Sang-Won; Lee, Jae Won",2008,,12
